timestamp,price_eur_kwh
2025-06-21T00:00:00+02:00,0.20
2025-06-21T01:00:00+02:00,0.19
2025-06-21T02:00:00+02:00,0.18
2025-06-21T03:00:00+02:00,0.17
2025-06-21T04:00:00+02:00,0.16
2025-06-21T05:00:00+02:00,0.15
2025-06-21T06:00:00+02:00,0.16
2025-06-21T07:00:00+02:00,0.18
2025-06-21T08:00:00+02:00,0.20
2025-06-21T09:00:00+02:00,0.22
2025-06-21T10:00:00+02:00,0.24
2025-06-21T11:00:00+02:00,0.26
2025-06-21T12:00:00+02:00,0.28
2025-06-21T13:00:00+02:00,0.27
2025-06-21T14:00:00+02:00,0.26
2025-06-21T15:00:00+02:00,0.25
2025-06-21T16:00:00+02:00,0.24
2025-06-21T17:00:00+02:00,0.23
2025-06-21T18:00:00+02:00,0.30
2025-06-21T19:00:00+02:00,0.35
2025-06-21T20:00:00+02:00,0.33
2025-06-21T21:00:00+02:00,0.30
2025-06-21T22:00:00+02:00,0.25
2025-06-21T23:00:00+02:00,0.22
