timestamp,pv_kwh
2025-06-21T00:00:00+02:00,0.0
2025-06-21T01:00:00+02:00,0.0
2025-06-21T02:00:00+02:00,0.0
2025-06-21T03:00:00+02:00,0.0
2025-06-21T04:00:00+02:00,0.0
2025-06-21T05:00:00+02:00,0.1
2025-06-21T06:00:00+02:00,0.3
2025-06-21T07:00:00+02:00,0.7
2025-06-21T08:00:00+02:00,1.2
2025-06-21T09:00:00+02:00,1.8
2025-06-21T10:00:00+02:00,2.4
2025-06-21T11:00:00+02:00,2.8
2025-06-21T12:00:00+02:00,3.0
2025-06-21T13:00:00+02:00,2.9
2025-06-21T14:00:00+02:00,2.6
2025-06-21T15:00:00+02:00,2.0
2025-06-21T16:00:00+02:00,1.2
2025-06-21T17:00:00+02:00,0.6
2025-06-21T18:00:00+02:00,0.2
2025-06-21T19:00:00+02:00,0.0
2025-06-21T20:00:00+02:00,0.0
2025-06-21T21:00:00+02:00,0.0
2025-06-21T22:00:00+02:00,0.0
2025-06-21T23:00:00+02:00,0.0
