calendar_position,source_timestamp_utc,source_timestamp_local_london,timestamp_utc,timestamp_local,alignment_method
0,2013-01-01T00:00:00Z,2013-01-01 00:00:00+00:00,2012-12-31T23:00:00Z,2013-01-01 00:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
1,2013-01-01T01:00:00Z,2013-01-01 01:00:00+00:00,2013-01-01T00:00:00Z,2013-01-01 01:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
2,2013-01-01T02:00:00Z,2013-01-01 02:00:00+00:00,2013-01-01T01:00:00Z,2013-01-01 02:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
3,2013-01-01T03:00:00Z,2013-01-01 03:00:00+00:00,2013-01-01T02:00:00Z,2013-01-01 03:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
4,2013-01-01T04:00:00Z,2013-01-01 04:00:00+00:00,2013-01-01T03:00:00Z,2013-01-01 04:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
5,2013-01-01T05:00:00Z,2013-01-01 05:00:00+00:00,2013-01-01T04:00:00Z,2013-01-01 05:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
6,2013-01-01T06:00:00Z,2013-01-01 06:00:00+00:00,2013-01-01T05:00:00Z,2013-01-01 06:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
7,2013-01-01T07:00:00Z,2013-01-01 07:00:00+00:00,2013-01-01T06:00:00Z,2013-01-01 07:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
8,2013-01-01T08:00:00Z,2013-01-01 08:00:00+00:00,2013-01-01T07:00:00Z,2013-01-01 08:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
9,2013-01-01T09:00:00Z,2013-01-01 09:00:00+00:00,2013-01-01T08:00:00Z,2013-01-01 09:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
10,2013-01-01T10:00:00Z,2013-01-01 10:00:00+00:00,2013-01-01T09:00:00Z,2013-01-01 10:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
11,2013-01-01T11:00:00Z,2013-01-01 11:00:00+00:00,2013-01-01T10:00:00Z,2013-01-01 11:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
12,2013-01-01T12:00:00Z,2013-01-01 12:00:00+00:00,2013-01-01T11:00:00Z,2013-01-01 12:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
13,2013-01-01T13:00:00Z,2013-01-01 13:00:00+00:00,2013-01-01T12:00:00Z,2013-01-01 13:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
14,2013-01-01T14:00:00Z,2013-01-01 14:00:00+00:00,2013-01-01T13:00:00Z,2013-01-01 14:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
15,2013-01-01T15:00:00Z,2013-01-01 15:00:00+00:00,2013-01-01T14:00:00Z,2013-01-01 15:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
16,2013-01-01T16:00:00Z,2013-01-01 16:00:00+00:00,2013-01-01T15:00:00Z,2013-01-01 16:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
17,2013-01-01T17:00:00Z,2013-01-01 17:00:00+00:00,2013-01-01T16:00:00Z,2013-01-01 17:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
18,2013-01-01T18:00:00Z,2013-01-01 18:00:00+00:00,2013-01-01T17:00:00Z,2013-01-01 18:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
19,2013-01-01T19:00:00Z,2013-01-01 19:00:00+00:00,2013-01-01T18:00:00Z,2013-01-01 19:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
20,2013-01-01T20:00:00Z,2013-01-01 20:00:00+00:00,2013-01-01T19:00:00Z,2013-01-01 20:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
21,2013-01-01T21:00:00Z,2013-01-01 21:00:00+00:00,2013-01-01T20:00:00Z,2013-01-01 21:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
22,2013-01-01T22:00:00Z,2013-01-01 22:00:00+00:00,2013-01-01T21:00:00Z,2013-01-01 22:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
23,2013-01-01T23:00:00Z,2013-01-01 23:00:00+00:00,2013-01-01T22:00:00Z,2013-01-01 23:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
24,2013-01-02T00:00:00Z,2013-01-02 00:00:00+00:00,2013-01-01T23:00:00Z,2013-01-02 00:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
25,2013-01-02T01:00:00Z,2013-01-02 01:00:00+00:00,2013-01-02T00:00:00Z,2013-01-02 01:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
26,2013-01-02T02:00:00Z,2013-01-02 02:00:00+00:00,2013-01-02T01:00:00Z,2013-01-02 02:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
27,2013-01-02T03:00:00Z,2013-01-02 03:00:00+00:00,2013-01-02T02:00:00Z,2013-01-02 03:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
28,2013-01-02T04:00:00Z,2013-01-02 04:00:00+00:00,2013-01-02T03:00:00Z,2013-01-02 04:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
29,2013-01-02T05:00:00Z,2013-01-02 05:00:00+00:00,2013-01-02T04:00:00Z,2013-01-02 05:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
30,2013-01-02T06:00:00Z,2013-01-02 06:00:00+00:00,2013-01-02T05:00:00Z,2013-01-02 06:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
31,2013-01-02T07:00:00Z,2013-01-02 07:00:00+00:00,2013-01-02T06:00:00Z,2013-01-02 07:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
32,2013-01-02T08:00:00Z,2013-01-02 08:00:00+00:00,2013-01-02T07:00:00Z,2013-01-02 08:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
33,2013-01-02T09:00:00Z,2013-01-02 09:00:00+00:00,2013-01-02T08:00:00Z,2013-01-02 09:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
