timestamp,load_kwh
2025-06-21 00:00:00,1.2
2025-06-21 01:00:00,1.1
2025-06-21 02:00:00,1.0
2025-06-21 03:00:00,0.95
2025-06-21 04:00:00,0.9
2025-06-21 05:00:00,1.0
2025-06-21 06:00:00,1.3
2025-06-21 07:00:00,1.6
2025-06-21 08:00:00,1.8
2025-06-21 09:00:00,1.9
2025-06-21 10:00:00,2.0
2025-06-21 11:00:00,2.1
2025-06-21 12:00:00,2.2
2025-06-21 13:00:00,2.1
2025-06-21 14:00:00,2.0
2025-06-21 15:00:00,1.9
2025-06-21 16:00:00,1.8
2025-06-21 17:00:00,1.8
2025-06-21 18:00:00,2.4
2025-06-21 19:00:00,2.8
2025-06-21 20:00:00,2.6
2025-06-21 21:00:00,2.2
2025-06-21 22:00:00,1.7
2025-06-21 23:00:00,1.4
